"tipo_produto","preço","ano","forma_pagamento","hora"
"Smart TV Samsung 75 Polegadas Crystal UHD 4K","""R$5.499,99""","2023","crédito","17:02"
"Smartphone Samsung Galaxy S23 5G","""R$6.499,00""","2023","crédito","18:54"
"Headset Gamer Sem Fio Logitech G435","""R$599,99""","2023","débito","16:12"
"""Memória Kingston Fury Beast, RGB, 16GB, 3600MHz, DDR4, CL18, Preto""","""R$776,35""","2021","PIX","17:54"
"""Fonte Corsair CV650, 650W, 80 Plus Bronze""","""R$470,58""","2022","crédito","15:38"
"Console PlayStation®5 Edição Digital","""R$3.999,90""","2022","crédito","12:33"
"Cadeira Gamer FOX Racer RGB Branca - Logo Preta com Iluminação (Led)","""R$1.149,90""","2023","crédito","11:47"
"Chinelo Puma Leadcat 2.0 Team BDP","""R$209,90""","2023","débito","15:18"
"""SSD Kingston A400, 480GB, SATA, Leitura 500MB/s, Gravação 450MB/s""","""R$435,18""","2021","PIX","20:49"
"Camisa Palmeiras Puma I 23/24","""R$329,90""","2023","débito","15:18"
